comment,actual,predicted
HR ಇಲಾಖೆಯು ಎಲ್ಲಾ ಉದ್ಯೋಗಿಗಳಿಗೆ ನಿಯಮಿತ ಕಾರ್ಯಕ್ಷಮತೆಯ ಮೌಲ್ಯಮಾಪನಗಳನ್ನು ನಡೆಸಿದೆ.,Neutral,Positive
"Sharing a new video on my channel, hoping you all enjoy it! � #youtuber",Neutral,Positive
[brand name] ତାଙ୍କର ଅନେକ ସୋସିଆଲ ମିଡିଆ ଫଲୋଅର୍ସ ଅଛନ୍ତି ।,Neutral,Negative
The patient's distress about their health condition is understandable.,Negative,Neutral
நிறுவனத்தின் q3 வருவாய் அறிக்கை எதிர்பார்த்ததை விட குறைவாக இருந்தது.,Negative,Neutral
[Brand Name]'s new marketing strategy is a disaster.,Negative,Neutral
The HR department has been slow in responding to employee requests and inquiries.,Negative,Neutral
I was able to set up automatic payments for my bills through the bank's website.,Positive,Neutral
ਨਿਰੰਤਰ ਇੰਸਟਾਗ੍ਰਾਮ ਵਿਗਿਆਪਨ ਇੰਨੇ ਤੰਗ ਕਰਨ ਵਾਲੇ ਹਨ ਅਤੇ ਮੇਰੇ ਬ੍ਰਾingਜ਼ਿੰਗ ਅਨੁਭਵ ਨੂੰ ਵਿਗਾੜਦੇ ਹਨ.,Negative,Positive
"કંપનીના q3 અર્નિંગ રિપોર્ટ અપેક્ષાથી ઓછો પડ્યો હતો, જેના કારણે તેમના શેરના ભાવમાં ઘટાડો થયો હતો.",Negative,Neutral
Just got a bill from my electricity provider and it is lower than expected.,Positive,Negative
Our customer satisfaction score has reached a record low.,Negative,Positive
"வணிகத்திற்கான Pinterest என்பது உங்கள் பிராண்டிற்கு வித்தியாசமான முகத்தை வழங்குவதற்கான ஒரு வாய்ப்பு. ஒரு செயலை செய்வது எப்படி-என்ற வழிகாட்டிகளை உருவாக்கலாம், தயாரிப்புகள் அல்லது சேவைகளை எவ்வாறு பயன்படுத்துவது என்பது குறித்த யோசனைகளைக் கண்டறியலாம்/வழங்கலாம் அல்லது பிடித்தமான செய்முறையைக் கண்டுபிடித்து/பகிரலாம் மற்றும் அதைப் பற்றிய உங்கள் கதையைப் பகிரலாம். இந்த பிளாட்ஃபார்மில் ஏறக்குறைய வரம்பற்ற பல்வேறு வகைகள் இருப்பதால், மற்ற தளங்கள் அனுமதிப்பதை விட உங்கள் கன்டெண்ட்டை கண்டறிய அல்லது சந்தைப்படுத்த பல்வேறு வழிகளை நீங்கள் ஆராயலாம்.",Positive,Negative
સ્પા આરામ માટે એક sauna અને વરાળ ખંડ ઓફર કરે છે.,Neutral,Positive
"The upcoming draft promises to be highly competitive, with several talented prospects.",Neutral,Positive
The market research revealed strong consumer demand for sustainable products.,Positive,Neutral
[environmental] ରେ ଥିବା ସମ୍ବାଦ ପ୍ରବନ୍ଧଟି ମୋର ଉଠାଇଛି ।,Positive,Negative
"Bunny படம் முழுவதும் எனர்ஜிக்கு குறைவே இல்லை. வெறும் டயலாக்கிற்கு மட்டும் அல்ல, உண்மையிலேயே அவர் ஒரு நெருப்பு தான்.",Positive,Negative
"xyz ନିଗମରେ ଉନ୍ନତ ପରିବହନ ସମୟ ସକରାତ୍ମକ ମତାମତ ଦେଇଛି, ଗ୍ରାହକମାନେ କମ୍ପାନୀର ଦକ୍ଷତାକୁ ପ୍ରଶଂସା କରୁଛନ୍ତି।",Positive,Neutral
"I am not impressed with the design of the new Dell laptop, it is a bit bland.",Neutral,Negative
কোম্পানির q3 আয়ের রিপোর্ট প্রত্যাশার চেয়ে কম ছিল।,Negative,Neutral
OPC-ৰ তুলনাত ইয়াৰ শক্তি কম আৰু ইয়াক কংক্ৰিটৰ কামত নিৰ্মাণ সামগ্ৰী হিচাপে ব্যৱহাৰ কৰিব নোৱাৰি।,Negative,Positive
The pressure to get good grades is overwhelming at times.,Neutral,Negative
The country is experiencing a period of unprecedented economic growth.,Positive,Neutral
The content recommendation system on my favorite music platform is failing to promote new artists.,Negative,Positive
BIS आ फोरमान बिलाइ होनाय आरो गोख्रों IC नि सोमोन्दै जेबो फोरमायथिनाय गैया।,Negative,Positive
"এতিয়া স্প্লিট AC-ত এয়াৰ পিউৰিফায়াৰ আহে, কিন্তু যিহেতু এয়াৰ পিউৰিফায়াৰে কাৰ্বন ডাই অক্সাইড আঁতৰ নকৰে, গতিকে মাজে মাজে খিৰিকীবোৰ খোলাটো অতি গুৰুত্বপূৰ্ণ। দুৱাৰ আৰু খিৰিকী খোলা ৰাখিলে এয়াৰ পিউৰিফায়াৰৰ কাৰ্যকৰীতা হ্ৰাস হ'ব।",Negative,Positive
The investment in new technology has shown both promising and concerning results.,Neutral,Positive
எங்கள் பிராண்டின் சமூக ஊடகங்களுக்கான உணர்வு பகுப்பாய்வு பற்றி நடுநிலையாக இருங்கள்.விழிப்புடன் இருக்க வேண்டும்.#brandreputation,Neutral,Negative
"3800mAh, फ्लासखौ बाहायबाय थाब्लाबो गोबाव जोरो।",Positive,Negative
মোৰ এপইণ্টমেণ্ট অহা মঙলবাৰে 2 pm বজাত নিৰ্ধাৰণ কৰা হৈছে।,Neutral,Positive
"mno उत्पादनांची वेबसाइट सुधारली जाऊ शकते, परंतु त्यांची ग्राहक सेवा उपयुक्त आहे.",Neutral,Positive
My workload is consistent and predictable.,Neutral,Negative
ಸ್ಥಿರವಾದ Instagram ಜಾಹೀರಾತುಗಳು ತುಂಬಾ ***** ಮತ್ತು ನನ್ನ ಬ್ರೌಸಿಂಗ್ ಅನುಭವವನ್ನು ಅಡ್ಡಿಪಡಿಸುತ್ತವೆ.,Negative,Positive
Our customer satisfaction ratings continue to be lower than the peak performance we had achieved earlier.,Negative,Positive
"भिदिअ नायनायनि थाखाय गासैबो रोखोम फोनांजाब जेरै ब्लुतुथ, USB आरो HDMI बो दंखायो। स्पिकाराबो ब्लुतुथजों फोनांजाबनाय दं आरो नांगौ समाव गारिनिफ्रायबो दिहुनजायो।",Positive,Negative
The market research suggests a growing demand for this type of product.,Neutral,Positive
We will use the survey results to identify areas for improvement in our customer service.,Neutral,Positive
"ഇപ്പോൾ സ്പീക്കറുകളിലും ഹോം തിയറ്റർ സംവിധാനങ്ങളിലും ബോട്ട് മുൻനിര ബ്രാൻഡാണ്. ബ്ലൂടൂത്ത്, USB, HDMI എന്നിങ്ങനെ എല്ലാത്തരം കണക്റ്റിവിറ്റികളും സഹിതമാണ് ഇത് വരുന്നത്.",Positive,Negative
We apologize for any inconvenience this may cause.,Neutral,Positive
ଏହି ଆପ୍ ଏକାଧିକ ଉପଭୋକ୍ତାଙ୍କୁ ସମର୍ଥନ କରେ ନାହିଁ | ପଞ୍ଜୀକୃତ ହୋଇଥିବା କେବଳ ଗୋଟିଏ ନମ୍ବରର ଆକ୍ସେସ୍ ଅଛି କିମ୍ବା ଏହି ପ୍ରବେଶ ଚାହୁଁଥିବା କୌଣସି ବ୍ୟକ୍ତିଙ୍କୁ ଏକ ସମୟରେ କେବଳ ଜଣେ ଦର୍ଶକଙ୍କ ସହିତ ପ୍ୟାରେଣ୍ଟ୍ ହୋଲ୍ଡରଙ୍କ ଠାରୁ otp ମାଗିବାକୁ ପଡିବ |,Negative,Positive
The Dow Jones Industrial Average experienced a significant uptick in morning trading.,Positive,Neutral
ସେମାନଙ୍କର Q3 ରୋଜଗାର ରିପୋର୍ଟ ପ୍ରକାଶ ପାଇବା ପରେ କମ୍ପାନୀର ଷ୍ଟକ୍ ମୂଲ୍ୟ ଅପରିବର୍ତ୍ତିତ ରହିଛି।,Neutral,Positive
ਕੰਪਨੀ ਦੀ q3 ਕਮਾਈ ਰਿਪੋਰਟ ਉਮੀਦਾਂ ਨੂੰ ਪੂਰਾ ਕਰਦੀ ਹੈ ।,Neutral,Positive
The airport had modern facilities and efficient security checkpoints.,Neutral,Positive
The online patient portal allows me to access my medical records and communicate with my doctor.,Neutral,Positive
"I was really looking forward to the new movie, but the trailer did not live up to my expectations.",Negative,Positive
"ਮਾਡਲ TVS ਸਪੋਰਟ ਮਾਡਲ ਲਈ, ਇੰਜਣ ਵਿੱਚ ਪਾਵਰ ਅਤੇ ਰਿਫਾਈਨਮੈਂਟ ਦੀ ਘਾਟ ਸੀ ਅਤੇ ਕੁਝ ਖਰੀਦਦਾਰਾਂ ਅਨੁਸਾਰ ਟਿਊਬਲੈੱਸ ਟਾਇਰ ਅਤੇ ਫਰੰਟ ਡਿਸਕ ਬ੍ਰੇਕ ਵਰਗੀਆਂ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਦੀ ਘਾਟ ਸੀ।",Negative,Positive
I received conflicting information from two different representatives.,Negative,Neutral
"కొత్త ఐఫోన్ విడుదల కోసం వేచి ఉండండి, ఇది వేచి ఉండాల్సిన #techlover",Neutral,Negative
माखासेमानि आखुफ्रा 'The Storyteller' अदिअ बिजाबखौ जोबोद गाज्रि मोन्दांथिसिम सोलायहोदों। बेयो जोबोद गोनोगोथो आरो बाखांनाय गोनां आरो आं बेखौ दान्दिसे समनि उनावबो खोनासंफिनाखै।,Negative,Positive
కంపెనీ యొక్క కొత్త CEO పని చాలా ఉంది.,Neutral,Positive
I am satisfied with the resources provided for my work.,Neutral,Positive
There were not enough options for other or none of the above in the survey.,Negative,Neutral
ఆసుపత్రి యొక్క కొత్త mri యంత్రం గణనీయంగా రోగులకు వేచి సమయం తగ్గింది.,Positive,Neutral
The customer was ecstatic about the unexpected discount they received.,Positive,Negative
ਕੁਝ ਖਪਤਕਾਰਾਂ ਨੇ ਸਾਡੇ storeਨਲਾਈਨ ਸਟੋਰ ਵਿੱਚ ਉਤਪਾਦਾਂ ਦੀ ਕਿਸਮ ਦੀ ਘਾਟ ਤੋਂ ਅਸੰਤੁਸ਼ਟੀ ਜ਼ਾਹਰ ਕੀਤੀ ਹੈ.,Negative,Positive
বাজারের প্রবণতাগুলি আমাদের traditionalতিহ্যবাহী পণ্য অফার থেকে সরে যাওয়ার পরামর্শ দেয়।,Negative,Positive
The prices at Company A are reasonable and affordable for a quality product.,Positive,Neutral
"@yelp- ൽ എനിക്ക് ഭയങ്കര റിവ്യൂ ലഭിച്ചു, ഞാൻ വളരെ നിരാശനാണ്.",Negative,Positive
"இந்த போட்டின் சவுண்ட்பாரில் இன்னும் அனைத்து ஸ்பீக்கர்களுக்கும் வயர் இணைப்புதான் கொடுக்கப்பட்டுள்ளது. HDMI போர்ட் அனைத்து சாதனங்களுடனும் ஒத்துப் போகாது என்பதால், சில நேரங்களில் திடீரென இணைப்பு துண்டிக்கப்படுகிறது.",Negative,Positive
"yz ਕਾਰਪੋਰੇਸ਼ਨ ਦੀ ਸਥਿਰਤਾ ਪ੍ਰਤੀ ਵਚਨਬੱਧਤਾ ਇੱਕ ਚੰਗੀ ਸ਼ੁਰੂਆਤ ਹੈ, ਪਰ ਸੁਧਾਰ ਦੀ ਗੁੰਜਾਇਸ਼ ਹੈ।",Neutral,Positive
ஸ்பா ஓய்வெடுக்க ஒரு sauna மற்றும் நீராவி அறை வழங்கியது.,Neutral,Positive
The company's mission and values align with my own.,Neutral,Positive
